"site_code","block","plot","subplot","year","mass","mass_category","note_biomass"
"baddrt.de",4,20,"A",2017,531.45,"anpp","anpp includes WOODY"
"baddrt.de",4,20,"A",2018,165,"anpp","anpp includes WOODY"
"baddrt.de",4,20,"A",2019,17.3,"anpp","anpp includes WOODY"
"baddrt.de",5,21,"A",2015,282.34,"anpp","anpp includes WOODY"
"baddrt.de",5,21,"A",2016,173.66,"anpp","anpp includes WOODY"
"baddrt.de",5,21,"A",2017,83.7,"anpp","anpp includes WOODY"
"baddrt.de",5,21,"A",2018,5.25,"anpp","anpp includes WOODY"
"baddrt.de",5,21,"A",2019,19.2,"anpp","anpp includes WOODY"
"baddrt.de",5,22,"A",2015,133.7,"anpp","anpp includes WOODY"
"baddrt.de",5,22,"A",2016,253.6,"anpp","anpp includes WOODY"
"baddrt.de",5,22,"A",2017,322.2,"anpp","anpp includes WOODY"
"baddrt.de",5,22,"A",2018,2.15,"anpp","anpp includes WOODY"
"baddrt.de",5,22,"A",2019,26.1,"anpp","anpp includes WOODY"
"baddrt.de",5,23,"A",2015,222.84,"anpp","anpp includes WOODY"
"baddrt.de",5,23,"A",2016,229.2,"anpp","anpp includes WOODY"
"baddrt.de",5,23,"A",2017,420.88,"anpp","anpp includes WOODY"
"baddrt.de",5,23,"A",2018,55.25,"anpp","anpp includes WOODY"
"baddrt.de",5,23,"A",2019,32.85,"anpp","anpp includes WOODY"
"baddrt.de",5,24,"A",2015,465.77,"anpp","anpp includes WOODY"
"baddrt.de",5,24,"A",2016,263.1,"anpp","anpp includes WOODY"
"baddrt.de",5,24,"A",2017,145.73,"anpp","anpp includes WOODY"
"baddrt.de",5,24,"A",2018,61.1,"anpp","anpp includes WOODY"
"baddrt.de",5,24,"A",2019,40.95,"anpp","anpp includes WOODY"
"baddrt.de",5,25,"A",2015,322.79,"anpp","anpp includes WOODY"
"baddrt.de",5,25,"A",2016,266,"anpp","anpp includes WOODY"
"baddrt.de",5,25,"A",2017,317.6,"anpp","anpp includes WOODY"
"baddrt.de",5,25,"A",2018,125.1,"anpp","anpp includes WOODY"
"baddrt.de",5,25,"A",2019,73.15,"anpp","anpp includes WOODY"
"bayrdrt.de",1,1,"A",2013,745.1,"anpp","anpp includes WOODY"
"bayrdrt.de",1,1,"A",2015,448.7,"anpp","anpp includes WOODY"
"bayrdrt.de",1,1,"A",2016,304.347,"anpp","anpp includes WOODY"
"bayrdrt.de",1,1,"A",2017,700.52,"anpp","anpp includes WOODY"
"bayrdrt.de",1,1,"A",2018,546.26,"anpp","anpp includes WOODY"
"bayrdrt.de",1,1,"A",2019,170.998,"anpp","anpp includes WOODY"
"bayrdrt.de",1,1,"A",2020,232.85,"anpp","anpp includes WOODY"
"bayrdrt.de",1,6,"A",2013,650.6,"anpp","anpp includes WOODY"
"bayrdrt.de",1,6,"A",2015,569,"anpp","anpp includes WOODY"
"bayrdrt.de",1,6,"A",2016,303.419,"anpp","anpp includes WOODY"
"bayrdrt.de",1,6,"A",2017,529.224,"anpp","anpp includes WOODY"
"bayrdrt.de",1,6,"A",2018,154.636,"anpp","anpp includes WOODY"
"bayrdrt.de",1,6,"A",2019,270.6445,"anpp","anpp includes WOODY"
"bayrdrt.de",1,6,"A",2020,411.225,"anpp","anpp includes WOODY"
"bayrdrt.de",1,11,"A",2018,389.832,"anpp","anpp includes WOODY"
"bayrdrt.de",1,11,"A",2019,419.0605,"anpp","anpp includes WOODY"
"bayrdrt.de",1,11,"A",2020,738.175,"anpp","anpp includes WOODY"
"bayrdrt.de",1,16,"A",2018,302.839,"anpp","anpp includes WOODY"
"bayrdrt.de",1,16,"A",2019,535.018,"anpp","anpp includes WOODY"
"bayrdrt.de",1,16,"A",2020,998.985,"anpp","anpp includes WOODY"
"bayrdrt.de",2,2,"A",2013,684.8,"anpp","anpp includes WOODY"
"bayrdrt.de",2,2,"A",2015,411.8,"anpp","anpp includes WOODY"
"bayrdrt.de",2,2,"A",2016,312.546,"anpp","anpp includes WOODY"
"bayrdrt.de",2,2,"A",2017,833.22,"anpp","anpp includes WOODY"
"bayrdrt.de",2,2,"A",2018,360.819,"anpp","anpp includes WOODY"
"bayrdrt.de",2,2,"A",2019,421.8265,"anpp","anpp includes WOODY"
"bayrdrt.de",2,2,"A",2020,518.4,"anpp","anpp includes WOODY"
"bayrdrt.de",2,7,"A",2013,556.4,"anpp","anpp includes WOODY"
"bayrdrt.de",2,7,"A",2015,592.8,"anpp","anpp includes WOODY"
"bayrdrt.de",2,7,"A",2016,354.206,"anpp","anpp includes WOODY"
"bayrdrt.de",2,7,"A",2017,518.989,"anpp","anpp includes WOODY"
"bayrdrt.de",2,7,"A",2018,166.085,"anpp","anpp includes WOODY"
"bayrdrt.de",2,7,"A",2019,255.6485,"anpp","anpp includes WOODY"
"bayrdrt.de",2,7,"A",2020,412.075,"anpp","anpp includes WOODY"
"bayrdrt.de",2,12,"A",2018,345.751,"anpp","anpp includes WOODY"
"bayrdrt.de",2,12,"A",2019,663.8165,"anpp","anpp includes WOODY"
"bayrdrt.de",2,12,"A",2020,1150.485,"anpp","anpp includes WOODY"
"bayrdrt.de",2,17,"A",2018,217.474,"anpp","anpp includes WOODY"
"bayrdrt.de",2,17,"A",2019,353.7435,"anpp","anpp includes WOODY"
"bayrdrt.de",2,17,"A",2020,623.45,"anpp","anpp includes WOODY"
"bayrdrt.de",3,3,"A",2013,563.4,"anpp","anpp includes WOODY"
"bayrdrt.de",3,3,"A",2015,434.1,"anpp","anpp includes WOODY"
"bayrdrt.de",3,3,"A",2016,345.082,"anpp","anpp includes WOODY"
"bayrdrt.de",3,3,"A",2017,584.42,"anpp","anpp includes WOODY"
"bayrdrt.de",3,3,"A",2018,185.552,"anpp","anpp includes WOODY"
"bayrdrt.de",3,3,"A",2019,194.9465,"anpp","anpp includes WOODY"
"bayrdrt.de",3,3,"A",2020,504.34,"anpp","anpp includes WOODY"
"bayrdrt.de",3,8,"A",2013,553.4,"anpp","anpp includes WOODY"
"bayrdrt.de",3,8,"A",2015,440.7,"anpp","anpp includes WOODY"
"bayrdrt.de",3,8,"A",2016,197.0949,"anpp","anpp includes WOODY"
"bayrdrt.de",3,8,"A",2017,486.68,"anpp","anpp includes WOODY"
"bayrdrt.de",3,8,"A",2018,205.769,"anpp","anpp includes WOODY"
"bayrdrt.de",3,8,"A",2019,166.638,"anpp","anpp includes WOODY"
"bayrdrt.de",3,8,"A",2020,313.975,"anpp","anpp includes WOODY"
"bayrdrt.de",3,13,"A",2018,311.55,"anpp","anpp includes WOODY"
"bayrdrt.de",3,13,"A",2019,425.677,"anpp","anpp includes WOODY"
"bayrdrt.de",3,13,"A",2020,1004.11,"anpp","anpp includes WOODY"
"bayrdrt.de",3,18,"A",2018,157.85,"anpp","anpp includes WOODY"
"bayrdrt.de",3,18,"A",2019,350.12,"anpp","anpp includes WOODY"
"bayrdrt.de",3,18,"A",2020,658,"anpp","anpp includes WOODY"
"bayrdrt.de",4,4,"A",2013,504.6,"anpp","anpp includes WOODY"
"bayrdrt.de",4,4,"A",2015,510.6,"anpp","anpp includes WOODY"
"bayrdrt.de",4,4,"A",2016,477.769,"anpp","anpp includes WOODY"
"bayrdrt.de",4,4,"A",2017,705.98,"anpp","anpp includes WOODY"
"bayrdrt.de",4,4,"A",2018,182.59,"anpp","anpp includes WOODY"
"bayrdrt.de",4,4,"A",2019,306.7255,"anpp","anpp includes WOODY"
"bayrdrt.de",4,4,"A",2020,388.225,"anpp","anpp includes WOODY"
"bayrdrt.de",4,9,"A",2013,619.7,"anpp","anpp includes WOODY"
"bayrdrt.de",4,9,"A",2015,233.4,"anpp","anpp includes WOODY"
"bayrdrt.de",4,9,"A",2016,240.4356,"anpp","anpp includes WOODY"
"bayrdrt.de",4,9,"A",2017,553.88,"anpp","anpp includes WOODY"
"bayrdrt.de",4,9,"A",2018,175.1,"anpp","anpp includes WOODY"
"bayrdrt.de",4,9,"A",2019,378.9525,"anpp","anpp includes WOODY"
"bayrdrt.de",4,9,"A",2020,316.125,"anpp","anpp includes WOODY"
"bayrdrt.de",4,14,"A",2018,295.307,"anpp","anpp includes WOODY"
"bayrdrt.de",4,14,"A",2019,573.58,"anpp","anpp includes WOODY"
"bayrdrt.de",4,14,"A",2020,896.436,"anpp","anpp includes WOODY"
"bayrdrt.de",4,19,"A",2018,203.685,"anpp","anpp includes WOODY"
"bayrdrt.de",4,19,"A",2019,333.449,"anpp","anpp includes WOODY"
"bayrdrt.de",4,19,"A",2020,753.65,"anpp","anpp includes WOODY"
"bayrdrt.de",5,5,"A",2013,620.3,"anpp","anpp includes WOODY"
"bayrdrt.de",5,5,"A",2015,370.9,"anpp","anpp includes WOODY"
"bayrdrt.de",5,5,"A",2016,248.783,"anpp","anpp includes WOODY"
"bayrdrt.de",5,5,"A",2017,490.82,"anpp","anpp includes WOODY"
"bayrdrt.de",5,5,"A",2018,237.534,"anpp","anpp includes WOODY"
"bayrdrt.de",5,5,"A",2019,161.0885,"anpp","anpp includes WOODY"
"bayrdrt.de",5,5,"A",2020,204.65,"anpp","anpp includes WOODY"
"bayrdrt.de",5,10,"A",2013,386.8,"anpp","anpp includes WOODY"
"bayrdrt.de",5,10,"A",2015,440,"anpp","anpp includes WOODY"
"bayrdrt.de",5,10,"A",2016,246.812,"anpp","anpp includes WOODY"
"bayrdrt.de",5,10,"A",2017,446.738,"anpp","anpp includes WOODY"
"bayrdrt.de",5,10,"A",2018,171.391,"anpp","anpp includes WOODY"
"bayrdrt.de",5,10,"A",2019,245.8855,"anpp","anpp includes WOODY"
"bayrdrt.de",5,10,"A",2020,162.775,"anpp","anpp includes WOODY"
"bayrdrt.de",5,15,"A",2018,346.22,"anpp","anpp includes WOODY"
"bayrdrt.de",5,15,"A",2019,352.0045,"anpp","anpp includes WOODY"
"bayrdrt.de",5,15,"A",2020,872.975,"anpp","anpp includes WOODY"
"bayrdrt.de",5,20,"A",2018,247.46,"anpp","anpp includes WOODY"
"bayrdrt.de",5,20,"A",2019,510.3975,"anpp","anpp includes WOODY"
"bayrdrt.de",5,20,"A",2020,887.25,"anpp","anpp includes WOODY"
"biddulph.ca",1,1,"A",2015,122.67,"anpp","anpp does not include WOODY"
"biddulph.ca",1,1,"A",2016,121,"anpp","anpp does not include WOODY"
"biddulph.ca",1,1,"A",2017,78,"anpp","anpp does not include WOODY"
"biddulph.ca",1,1,"A",2018,342.5,"anpp","anpp does not include WOODY"
"biddulph.ca",1,1,"A",2019,96,"anpp","anpp does not include WOODY"
"biddulph.ca",1,2,"A",2015,87.13,"anpp","anpp does not include WOODY"
"biddulph.ca",1,2,"A",2016,107.8,"anpp","anpp does not include WOODY"
"biddulph.ca",1,2,"A",2017,163,"anpp","anpp does not include WOODY"
"biddulph.ca",1,2,"A",2018,139,"anpp","anpp does not include WOODY"
"biddulph.ca",1,2,"A",2019,88.5,"anpp","anpp does not include WOODY"
"biddulph.ca",1,3,"A",2015,138.58,"anpp","anpp does not include WOODY"
"biddulph.ca",1,3,"A",2016,100.35,"anpp","anpp does not include WOODY"
"biddulph.ca",1,3,"A",2017,225,"anpp","anpp does not include WOODY"
"biddulph.ca",1,3,"A",2018,134.5,"anpp","anpp does not include WOODY"
"biddulph.ca",1,3,"A",2019,108,"anpp","anpp does not include WOODY"
"biddulph.ca",1,4,"A",2015,78.73,"anpp","anpp does not include WOODY"
"biddulph.ca",1,4,"A",2016,101.35,"anpp","anpp does not include WOODY"
"biddulph.ca",1,4,"A",2017,160,"anpp","anpp does not include WOODY"
"biddulph.ca",1,4,"A",2018,327,"anpp","anpp does not include WOODY"
"biddulph.ca",1,4,"A",2019,108.5,"anpp","anpp does not include WOODY"
"biddulph.ca",1,5,"A",2015,80.99,"anpp","anpp does not include WOODY"
"biddulph.ca",1,5,"A",2016,60.85,"anpp","anpp does not include WOODY"
"biddulph.ca",1,5,"A",2017,39.5,"anpp","anpp does not include WOODY"
"biddulph.ca",1,5,"A",2018,258.5,"anpp","anpp does not include WOODY"
"biddulph.ca",1,5,"A",2019,51,"anpp","anpp does not include WOODY"
"biddulph.ca",1,6,"A",2015,183.39,"anpp","anpp does not include WOODY"
"biddulph.ca",1,6,"A",2016,151.5,"anpp","anpp does not include WOODY"
"biddulph.ca",1,6,"A",2017,201.5,"anpp","anpp does not include WOODY"
"biddulph.ca",1,6,"A",2018,93,"anpp","anpp does not include WOODY"
"biddulph.ca",1,6,"A",2019,165.5,"anpp","anpp does not include WOODY"
"brookdale.ca",1,1,"A",2017,333.65,"anpp","anpp includes WOODY"
"brookdale.ca",1,1,"A",2018,300.65,"anpp","anpp includes WOODY"
"brookdale.ca",1,1,"A",2019,225.8,"anpp","anpp includes WOODY"
